Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
"Mon, Jan 30, 2023",10:00p,Atlanta Hawks,125,Portland Trail Blazers,129,Box Score,,"18,262",Moda Center,
"Tue, Jan 31, 2023",7:00p,Miami Heat,100,Cleveland Cavaliers,97,Box Score,,"19,432",Rocket Mortgage Fieldhouse,
"Tue, Jan 31, 2023",7:30p,Los Angeles Lakers,129,New York Knicks,123,Box Score,OT,"19,812",Madison Square Garden (IV),
"Tue, Jan 31, 2023",8:00p,Los Angeles Clippers,108,Chicago Bulls,103,Box Score,,"20,068",United Center,
"Tue, Jan 31, 2023",8:00p,Charlotte Hornets,115,Milwaukee Bucks,124,Box Score,,"17,341",Fiserv Forum,
"Tue, Jan 31, 2023",10:00p,New Orleans Pelicans,113,Denver Nuggets,122,Box Score,,"18,868",Ball Arena,
"Wed, Feb 1, 2023",7:00p,Portland Trail Blazers,122,Memphis Grizzlies,112,Box Score,,"14,589",FedEx Forum,
"Wed, Feb 1, 2023",7:00p,Orlando Magic,94,Philadelphia 76ers,105,Box Score,,"20,885",Wells Fargo Center,
"Wed, Feb 1, 2023",7:30p,Brooklyn Nets,96,Boston Celtics,139,Box Score,,"19,156",TD Garden,
"Wed, Feb 1, 2023",8:00p,Oklahoma City Thunder,106,Houston Rockets,112,Box Score,,"15,181",Toyota Center,
"Wed, Feb 1, 2023",8:00p,Golden State Warriors,114,Minnesota Timberwolves,119,Box Score,OT,"17,136",Target Center,
"Wed, Feb 1, 2023",8:00p,Sacramento Kings,119,San Antonio Spurs,109,Box Score,,"13,207",AT&T Center,
"Wed, Feb 1, 2023",9:00p,Toronto Raptors,128,Utah Jazz,131,Box Score,,"18,206",Vivint Arena,
"Wed, Feb 1, 2023",10:00p,Atlanta Hawks,132,Phoenix Suns,100,Box Score,,"17,071",Footprint Center,
"Thu, Feb 2, 2023",7:00p,Los Angeles Lakers,112,Indiana Pacers,111,Box Score,,"17,274",Gainbridge Fieldhouse,
"Thu, Feb 2, 2023",7:30p,Memphis Grizzlies,113,Cleveland Cavaliers,128,Box Score,,"19,432",Rocket Mortgage Fieldhouse,
"Thu, Feb 2, 2023",7:30p,Miami Heat,104,New York Knicks,106,Box Score,,"19,044",Madison Square Garden (IV),
"Thu, Feb 2, 2023",8:00p,Charlotte Hornets,98,Chicago Bulls,114,Box Score,,"20,072",United Center,
"Thu, Feb 2, 2023",8:30p,New Orleans Pelicans,106,Dallas Mavericks,111,Box Score,,"19,670",American Airlines Center,
"Thu, Feb 2, 2023",9:00p,Golden State Warriors,117,Denver Nuggets,134,Box Score,,"19,555",Ball Arena,
"Thu, Feb 2, 2023",10:00p,Los Angeles Clippers,105,Milwaukee Bucks,106,Box Score,,"17,341",Fiserv Forum,
"Fri, Feb 3, 2023",7:00p,Charlotte Hornets,112,Detroit Pistons,118,Box Score,,"18,007",Little Caesars Arena,
"Fri, Feb 3, 2023",7:00p,Sacramento Kings,104,Indiana Pacers,107,Box Score,,"17,274",Gainbridge Fieldhouse,
"Fri, Feb 3, 2023",7:00p,Portland Trail Blazers,124,Washington Wizards,116,Box Score,,"20,476",Capital One Arena,
"Fri, Feb 3, 2023",7:30p,Phoenix Suns,106,Boston Celtics,94,Box Score,,"19,156",TD Garden,
"Fri, Feb 3, 2023",8:00p,Toronto Raptors,117,Houston Rockets,111,Box Score,,"16,585",Toyota Center,
"Fri, Feb 3, 2023",8:00p,Orlando Magic,127,Minnesota Timberwolves,120,Box Score,,"17,136",Target Center,
"Fri, Feb 3, 2023",8:00p,Philadelphia 76ers,137,San Antonio Spurs,125,Box Score,,"15,252",AT&T Center,
"Fri, Feb 3, 2023",9:00p,Atlanta Hawks,115,Utah Jazz,108,Box Score,,"18,206",Vivint Arena,
"Sat, Feb 4, 2023",6:00p,Washington Wizards,123,Brooklyn Nets,125,Box Score,,"17,732",Barclays Center,
"Sat, Feb 4, 2023",6:00p,Los Angeles Lakers,126,New Orleans Pelicans,131,Box Score,,"18,886",Smoothie King Center,
"Sat, Feb 4, 2023",7:00p,Phoenix Suns,116,Detroit Pistons,100,Box Score,,"19,788",Little Caesars Arena,
"Sat, Feb 4, 2023",7:00p,Los Angeles Clippers,134,New York Knicks,128,Box Score,OT,"19,812",Madison Square Garden (IV),
"Sat, Feb 4, 2023",8:00p,Portland Trail Blazers,121,Chicago Bulls,129,Box Score,,"20,135",United Center,
"Sat, Feb 4, 2023",8:00p,Miami Heat,115,Milwaukee Bucks,123,Box Score,,"18,008",Fiserv Forum,
"Sat, Feb 4, 2023",8:00p,Houston Rockets,121,Oklahoma City Thunder,153,Box Score,,"16,994",Paycom Center,
"Sat, Feb 4, 2023",8:30p,Dallas Mavericks,113,Golden State Warriors,119,Box Score,,"18,064",Chase Center,
"Sat, Feb 4, 2023",9:00p,Atlanta Hawks,108,Denver Nuggets,128,Box Score,,"19,630",Ball Arena,
"Sun, Feb 5, 2023",1:00p,Orlando Magic,119,Charlotte Hornets,113,Box Score,,"18,510",Spectrum Center,
"Sun, Feb 5, 2023",5:00p,Cleveland Cavaliers,122,Indiana Pacers,103,Box Score,,"17,274",Gainbridge Fieldhouse,
"Sun, Feb 5, 2023",6:00p,Toronto Raptors,106,Memphis Grizzlies,103,Box Score,,"17,794",FedEx Forum,
"Sun, Feb 5, 2023",6:00p,Philadelphia 76ers,97,New York Knicks,108,Box Score,,"17,586",Madison Square Garden (IV),
"Sun, Feb 5, 2023",7:00p,Denver Nuggets,98,Minnesota Timberwolves,128,Box Score,,"17,136",Target Center,
"Sun, Feb 5, 2023",7:00p,Sacramento Kings,104,New Orleans Pelicans,136,Box Score,,"17,779",Smoothie King Center,
"Mon, Feb 6, 2023",7:00p,Boston Celtics,111,Detroit Pistons,99,Box Score,,"17,933",Little Caesars Arena,
"Mon, Feb 6, 2023",7:00p,Cleveland Cavaliers,114,Washington Wizards,91,Box Score,,"16,744",Capital One Arena,
"Mon, Feb 6, 2023",7:30p,Los Angeles Clippers,124,Brooklyn Nets,116,Box Score,,"16,981",Barclays Center,
"Mon, Feb 6, 2023",8:00p,San Antonio Spurs,104,Chicago Bulls,128,Box Score,,"19,291",United Center,
"Mon, Feb 6, 2023",8:00p,Sacramento Kings,140,Houston Rockets,120,Box Score,,"15,405",Toyota Center,
"Mon, Feb 6, 2023",9:00p,Dallas Mavericks,124,Utah Jazz,111,Box Score,,"18,206",Vivint Arena,
"Mon, Feb 6, 2023",10:00p,Oklahoma City Thunder,114,Golden State Warriors,141,Box Score,,"18,064",Chase Center,
"Mon, Feb 6, 2023",10:00p,Milwaukee Bucks,127,Portland Trail Blazers,108,Box Score,,"18,110",Moda Center,
"Tue, Feb 7, 2023",7:00p,New York Knicks,102,Orlando Magic,98,Box Score,,"19,438",Amway Center,
"Tue, Feb 7, 2023",7:30p,Phoenix Suns,116,Brooklyn Nets,112,Box Score,,"17,093",Barclays Center,
"Tue, Feb 7, 2023",7:30p,Atlanta Hawks,107,New Orleans Pelicans,116,Box Score,,"16,669",Smoothie King Center,
"Tue, Feb 7, 2023",8:00p,Chicago Bulls,89,Memphis Grizzlies,104,Box Score,,"17,012",FedEx Forum,
"Tue, Feb 7, 2023",9:00p,Minnesota Timberwolves,112,Denver Nuggets,146,Box Score,,"18,307",Ball Arena,
"Tue, Feb 7, 2023",10:00p,Oklahoma City Thunder,133,Los Angeles Lakers,130,Box Score,,"18,997",Crypto.com Arena,
"Wed, Feb 8, 2023",7:00p,Detroit Pistons,85,Cleveland Cavaliers,113,Box Score,,"19,432",Rocket Mortgage Fieldhouse,
"Wed, Feb 8, 2023",7:00p,Charlotte Hornets,104,Washington Wizards,118,Box Score,,"16,097",Capital One Arena,
"Wed, Feb 8, 2023",7:30p,Philadelphia 76ers,99,Boston Celtics,106,Box Score,,"19,156",TD Garden,
"Wed, Feb 8, 2023",7:30p,Indiana Pacers,111,Miami Heat,116,Box Score,,"19,600",FTX Arena,
"Wed, Feb 8, 2023",7:30p,San Antonio Spurs,98,Toronto Raptors,112,Box Score,,"19,800",Scotiabank Arena,
"Wed, Feb 8, 2023",8:00p,Sacramento Kings,130,Houston Rockets,128,Box Score,,"15,881",Toyota Center,
"Wed, Feb 8, 2023",9:00p,Minnesota Timberwolves,143,Utah Jazz,118,Box Score,,"18,206",Vivint Arena,
"Wed, Feb 8, 2023",10:00p,Dallas Mavericks,110,Los Angeles Clippers,104,Box Score,,"18,377",Crypto.com Arena,
"Wed, Feb 8, 2023",10:00p,Golden State Warriors,122,Portland Trail Blazers,125,Box Score,,"18,450",Moda Center,
"Thu, Feb 9, 2023",7:00p,Denver Nuggets,104,Orlando Magic,115,Box Score,,"18,846",Amway Center,
"Thu, Feb 9, 2023",7:30p,Phoenix Suns,107,Atlanta Hawks,116,Box Score,,"17,003",State Farm Arena,
"Thu, Feb 9, 2023",7:30p,Chicago Bulls,105,Brooklyn Nets,116,Box Score,,"16,938",Barclays Center,
"Thu, Feb 9, 2023",10:00p,Milwaukee Bucks,115,Los Angeles Lakers,106,Box Score,,"18,997",Crypto.com Arena,
"Fri, Feb 10, 2023",7:00p,San Antonio Spurs,131,Detroit Pistons,138,Box Score,2OT,"17,899",Little Caesars Arena,
"Fri, Feb 10, 2023",7:00p,Phoenix Suns,117,Indiana Pacers,104,Box Score,,"16,522",Gainbridge Fieldhouse,
"Fri, Feb 10, 2023",7:00p,New York Knicks,108,Philadelphia 76ers,119,Box Score,,"21,057",Wells Fargo Center,
"Fri, Feb 10, 2023",7:30p,Charlotte Hornets,116,Boston Celtics,127,Box Score,,"19,156",TD Garden,
"Fri, Feb 10, 2023",7:30p,Utah Jazz,122,Toronto Raptors,116,Box Score,,"19,800",Scotiabank Arena,
"Fri, Feb 10, 2023",8:00p,Minnesota Timberwolves,107,Memphis Grizzlies,128,Box Score,,"17,794",FedEx Forum,
"Fri, Feb 10, 2023",8:00p,Houston Rockets,95,Miami Heat,97,Box Score,,"19,600",FTX Arena,
"Fri, Feb 10, 2023",10:00p,Cleveland Cavaliers,118,New Orleans Pelicans,107,Box Score,,"16,398",Smoothie King Center,
"Fri, Feb 10, 2023",10:00p,Oklahoma City Thunder,138,Portland Trail Blazers,129,Box Score,,"19,424",Moda Center,
"Fri, Feb 10, 2023",10:00p,Dallas Mavericks,122,Sacramento Kings,114,Box Score,,"18,111",Golden 1 Center,
"Fri, Feb 10, 2023",10:30p,Milwaukee Bucks,119,Los Angeles Clippers,106,Box Score,,"16,614",Crypto.com Arena,
"Sat, Feb 11, 2023",6:00p,Philadelphia 76ers,101,Brooklyn Nets,98,Box Score,,"17,732",Barclays Center,
"Sat, Feb 11, 2023",7:00p,Denver Nuggets,119,Charlotte Hornets,105,Box Score,,"19,256",Spectrum Center,
"Sat, Feb 11, 2023",7:00p,Miami Heat,107,Orlando Magic,103,Box Score,OT,"18,223",Amway Center,
"Sat, Feb 11, 2023",7:00p,Indiana Pacers,113,Washington Wizards,127,Box Score,,"18,387",Capital One Arena,
"Sat, Feb 11, 2023",7:30p,San Antonio Spurs,106,Atlanta Hawks,125,Box Score,,"17,875",State Farm Arena,
"Sat, Feb 11, 2023",7:30p,Utah Jazz,120,New York Knicks,126,Box Score,,"19,339",Madison Square Garden (IV),
"Sat, Feb 11, 2023",8:00p,Chicago Bulls,89,Cleveland Cavaliers,97,Box Score,,"19,432",Rocket Mortgage Fieldhouse,
"Sat, Feb 11, 2023",8:30p,Los Angeles Lakers,109,Golden State Warriors,103,Box Score,,"18,064",Chase Center,
"Sat, Feb 11, 2023",10:00p,Dallas Mavericks,128,Sacramento Kings,133,Box Score,OT,"18,111",Golden 1 Center,
"Sun, Feb 12, 2023",2:00p,Memphis Grizzlies,109,Boston Celtics,119,Box Score,,"19,156",TD Garden,
"Sun, Feb 12, 2023",3:00p,Detroit Pistons,118,Toronto Raptors,119,Box Score,,"19,800",Scotiabank Arena,
"Mon, Feb 13, 2023",7:00p,Atlanta Hawks,,Charlotte Hornets,,,,,Spectrum Center,
"Mon, Feb 13, 2023",7:00p,San Antonio Spurs,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
"Mon, Feb 13, 2023",7:00p,Utah Jazz,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
"Mon, Feb 13, 2023",7:00p,Houston Rockets,,Philadelphia 76ers,,,,,Wells Fargo Center,
"Mon, Feb 13, 2023",7:30p,Denver Nuggets,,Miami Heat,,,,,FTX Arena,
"Mon, Feb 13, 2023",7:30p,Brooklyn Nets,,New York Knicks,,,,,Madison Square Garden (IV),
"Mon, Feb 13, 2023",8:00p,Orlando Magic,,Chicago Bulls,,,,,United Center,
"Mon, Feb 13, 2023",8:00p,New Orleans Pelicans,,Oklahoma City Thunder,,,,,Paycom Center,
"Mon, Feb 13, 2023",8:30p,Minnesota Timberwolves,,Dallas Mavericks,,,,,American Airlines Center,
"Mon, Feb 13, 2023",10:00p,Washington Wizards,,Golden State Warriors,,,,,Chase Center,
"Mon, Feb 13, 2023",10:00p,Los Angeles Lakers,,Portland Trail Blazers,,,,,Moda Center,
"Tue, Feb 14, 2023",7:30p,Boston Celtics,,Milwaukee Bucks,,,,,Fiserv Forum,
"Tue, Feb 14, 2023",7:30p,Orlando Magic,,Toronto Raptors,,,,,Scotiabank Arena,
"Tue, Feb 14, 2023",9:00p,Sacramento Kings,,Phoenix Suns,,,,,Footprint Center,
"Tue, Feb 14, 2023",10:00p,Golden State Warriors,,Los Angeles Clippers,,,,,Crypto.com Arena,
"Tue, Feb 14, 2023",10:00p,Washington Wizards,,Portland Trail Blazers,,,,,Moda Center,
"Wed, Feb 15, 2023",7:00p,San Antonio Spurs,,Charlotte Hornets,,,,,Spectrum Center,
"Wed, Feb 15, 2023",7:00p,Chicago Bulls,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
"Wed, Feb 15, 2023",7:30p,New York Knicks,,Atlanta Hawks,,,,,State Farm Arena,
"Wed, Feb 15, 2023",7:30p,Detroit Pistons,,Boston Celtics,,,,,TD Garden,
"Wed, Feb 15, 2023",7:30p,Miami Heat,,Brooklyn Nets,,,,,Barclays Center,
"Wed, Feb 15, 2023",7:30p,Cleveland Cavaliers,,Philadelphia 76ers,,,,,Wells Fargo Center,
"Wed, Feb 15, 2023",8:00p,Utah Jazz,,Memphis Grizzlies,,,,,FedEx Forum,
"Wed, Feb 15, 2023",8:00p,Houston Rockets,,Oklahoma City Thunder,,,,,Paycom Center,
"Wed, Feb 15, 2023",9:00p,Dallas Mavericks,,Denver Nuggets,,,,,Ball Arena,
"Wed, Feb 15, 2023",10:00p,New Orleans Pelicans,,Los Angeles Lakers,,,,,Crypto.com Arena,
"Thu, Feb 16, 2023",7:30p,Milwaukee Bucks,,Chicago Bulls,,,,,United Center,
"Thu, Feb 16, 2023",8:00p,Washington Wizards,,Minnesota Timberwolves,,,,,Target Center,
"Thu, Feb 16, 2023",10:00p,Los Angeles Clippers,,Phoenix Suns,,,,,Footprint Center,
"Thu, Feb 23, 2023",7:00p,Denver Nuggets,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
"Thu, Feb 23, 2023",7:00p,Boston Celtics,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
"Thu, Feb 23, 2023",7:00p,Detroit Pistons,,Orlando Magic,,,,,Amway Center,
"Thu, Feb 23, 2023",7:30p,Memphis Grizzlies,,Philadelphia 76ers,,,,,Wells Fargo Center,
"Thu, Feb 23, 2023",7:30p,New Orleans Pelicans,,Toronto Raptors,,,,,Scotiabank Arena,
"Thu, Feb 23, 2023",8:30p,San Antonio Spurs,,Dallas Mavericks,,,,,American Airlines Center,
"Thu, Feb 23, 2023",9:00p,Oklahoma City Thunder,,Utah Jazz,,,,,Vivint Arena,
"Thu, Feb 23, 2023",10:00p,Golden State Warriors,,Los Angeles Lakers,,,,,Crypto.com Arena,
"Thu, Feb 23, 2023",10:00p,Portland Trail Blazers,,Sacramento Kings,,,,,Golden 1 Center,
"Fri, Feb 24, 2023",7:00p,New York Knicks,,Washington Wizards,,,,,Capital One Arena,
"Fri, Feb 24, 2023",7:30p,Cleveland Cavaliers,,Atlanta Hawks,,,,,State Farm Arena,
"Fri, Feb 24, 2023",7:30p,Miami Heat,,Milwaukee Bucks,,,,,Fiserv Forum,
"Fri, Feb 24, 2023",8:00p,Charlotte Hornets,,Minnesota Timberwolves,,,,,Target Center,
"Fri, Feb 24, 2023",9:00p,Oklahoma City Thunder,,Phoenix Suns,,,,,Footprint Center,
"Fri, Feb 24, 2023",10:00p,Brooklyn Nets,,Chicago Bulls,,,,,United Center,
"Fri, Feb 24, 2023",10:00p,Houston Rockets,,Golden State Warriors,,,,,Chase Center,
"Fri, Feb 24, 2023",10:30p,Sacramento Kings,,Los Angeles Clippers,,,,,Crypto.com Arena,
"Sat, Feb 25, 2023",12:00p,Toronto Raptors,,Detroit Pistons,,,,,Little Caesars Arena,
"Sat, Feb 25, 2023",7:00p,Miami Heat,,Charlotte Hornets,,,,,Spectrum Center,
"Sat, Feb 25, 2023",7:00p,Indiana Pacers,,Orlando Magic,,,,,Amway Center,
"Sat, Feb 25, 2023",7:30p,New Orleans Pelicans,,New York Knicks,,,,,Madison Square Garden (IV),
"Sat, Feb 25, 2023",8:00p,Denver Nuggets,,Memphis Grizzlies,,,,,FedEx Forum,
"Sat, Feb 25, 2023",8:30p,Boston Celtics,,Philadelphia 76ers,,,,,Wells Fargo Center,
"Sat, Feb 25, 2023",9:00p,San Antonio Spurs,,Utah Jazz,,,,,Vivint Arena,
"Sun, Feb 26, 2023",1:00p,Phoenix Suns,,Milwaukee Bucks,,,,,Fiserv Forum,
"Sun, Feb 26, 2023",3:00p,Brooklyn Nets,,Atlanta Hawks,,,,,State Farm Arena,
"Sun, Feb 26, 2023",3:30p,Washington Wizards,,Chicago Bulls,,,,,United Center,
"Sun, Feb 26, 2023",3:30p,Los Angeles Lakers,,Dallas Mavericks,,,,,American Airlines Center,
"Sun, Feb 26, 2023",6:00p,Toronto Raptors,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
"Sun, Feb 26, 2023",7:00p,Sacramento Kings,,Oklahoma City Thunder,,,,,Paycom Center,
"Sun, Feb 26, 2023",7:30p,Minnesota Timberwolves,,Golden State Warriors,,,,,Chase Center,
"Sun, Feb 26, 2023",9:00p,Houston Rockets,,Portland Trail Blazers,,,,,Moda Center,
"Sun, Feb 26, 2023",10:00p,Los Angeles Clippers,,Denver Nuggets,,,,,Ball Arena,
"Mon, Feb 27, 2023",7:00p,Detroit Pistons,,Charlotte Hornets,,,,,Spectrum Center,
"Mon, Feb 27, 2023",7:00p,Miami Heat,,Philadelphia 76ers,,,,,Wells Fargo Center,
"Mon, Feb 27, 2023",7:30p,Boston Celtics,,New York Knicks,,,,,Madison Square Garden (IV),
"Mon, Feb 27, 2023",8:00p,Orlando Magic,,New Orleans Pelicans,,,,,Smoothie King Center,
"Tue, Feb 28, 2023",7:30p,Washington Wizards,,Atlanta Hawks,,,,,State Farm Arena,
"Tue, Feb 28, 2023",7:30p,Milwaukee Bucks,,Brooklyn Nets,,,,,Barclays Center,
"Tue, Feb 28, 2023",7:30p,Chicago Bulls,,Toronto Raptors,,,,,Scotiabank Arena,
"Tue, Feb 28, 2023",8:00p,Denver Nuggets,,Houston Rockets,,,,,Toyota Center,
"Tue, Feb 28, 2023",8:00p,Los Angeles Lakers,,Memphis Grizzlies,,,,,FedEx Forum,
"Tue, Feb 28, 2023",8:00p,Sacramento Kings,,Oklahoma City Thunder,,,,,Paycom Center,
"Tue, Feb 28, 2023",8:30p,Indiana Pacers,,Dallas Mavericks,,,,,American Airlines Center,
"Tue, Feb 28, 2023",9:00p,San Antonio Spurs,,Utah Jazz,,,,,Vivint Arena,
"Tue, Feb 28, 2023",10:00p,Portland Trail Blazers,,Golden State Warriors,,,,,Chase Center,
"Tue, Feb 28, 2023",10:00p,Minnesota Timberwolves,,Los Angeles Clippers,,,,,Crypto.com Arena,
