Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
"Wed, Jan 11, 2023",10:00p,Houston Rockets,115,Sacramento Kings,135,Box Score,,"16,057",Golden 1 Center,
"Thu, Jan 12, 2023",7:00p,Oklahoma City Thunder,133,Philadelphia 76ers,114,Box Score,,"20,892",Wells Fargo Center,
"Thu, Jan 12, 2023",7:30p,Boston Celtics,109,Brooklyn Nets,98,Box Score,,"18,125",Barclays Center,
"Thu, Jan 12, 2023",7:30p,Milwaukee Bucks,102,Miami Heat,108,Box Score,,"19,600",FTX Arena,
"Thu, Jan 12, 2023",7:30p,Charlotte Hornets,114,Toronto Raptors,124,Box Score,,"19,800",Scotiabank Arena,
"Thu, Jan 12, 2023",10:00p,Dallas Mavericks,119,Los Angeles Lakers,115,Box Score,2OT,"18,997",Crypto.com Arena,
"Thu, Jan 12, 2023",10:00p,Cleveland Cavaliers,119,Portland Trail Blazers,113,Box Score,,"18,105",Moda Center,
"Fri, Jan 13, 2023",7:00p,New Orleans Pelicans,116,Detroit Pistons,110,Box Score,,"18,989",Little Caesars Arena,
"Fri, Jan 13, 2023",7:00p,Atlanta Hawks,113,Indiana Pacers,111,Box Score,,"16,071",Gainbridge Fieldhouse,
"Fri, Jan 13, 2023",7:00p,New York Knicks,112,Washington Wizards,108,Box Score,,"20,476",Capital One Arena,
"Fri, Jan 13, 2023",7:30p,Golden State Warriors,144,San Antonio Spurs,113,Box Score,,"68,323",,
"Fri, Jan 13, 2023",8:00p,Oklahoma City Thunder,124,Chicago Bulls,110,Box Score,,"21,342",United Center,
"Fri, Jan 13, 2023",8:00p,Phoenix Suns,116,Minnesota Timberwolves,121,Box Score,,"16,460",Target Center,
"Fri, Jan 13, 2023",9:00p,Orlando Magic,108,Utah Jazz,112,Box Score,,"18,206",Vivint Arena,
"Fri, Jan 13, 2023",10:00p,Denver Nuggets,115,Los Angeles Clippers,103,Box Score,,"16,005",Crypto.com Arena,
